color1,color2,combination,user
008000,0000FF,no,User 1 or 2
008000,C9C9C9,yes,User 1 or 2
008000,8e1d03,yes,User 1 or 2
008000,5C2F83,no,User 1 or 2
008000,FFD200,no,User 1 or 2
008000,b3832e,yes,User 1 or 2
008000,ebd6a7,yes,User 1 or 2
008000,c4ddce,yes,User 1 or 2
008000,B5A45F,yes,User 1 or 2
008000,3B6968,yes,User 1 or 2
008000,86BE2D,yes,User 1 or 2
008000,bcd2e7,yes,User 1 or 2
008000,faaa6e,no,User 1 or 2
008000,640b22,no,User 1 or 2
5F5E5E,DEB24C,yes,User 1 or 2
5F5E5E,FFC0CB,yes,User 1 or 2
5F5E5E,87CEFA,yes,User 1 or 2
5F5E5E,000081,yes,User 1 or 2
5F5E5E,FFA500,no,User 1 or 2
5F5E5E,D84936,no,User 1 or 2
5F5E5E,F29985,yes,User 1 or 2
5F5E5E,BBE2AD,yes,User 1 or 2
5F5E5E,800000,no,User 1 or 2
5F5E5E,768597,yes,User 1 or 2
5F5E5E,614051,yes,User 1 or 2
5F5E5E,153668,yes,User 1 or 2
5F5E5E,808080,yes,User 1 or 2
5F5E5E,A57E62,yes,User 1 or 2
